F1-score per fold
9.876689443139891056e-01
9.948306148786090208e-01
9.962967885137740121e-01
9.976311588265879271e-01
9.931169487855719957e-01
9.982505772420599000e-01
9.976291743973900727e-01
9.972485734184733941e-01
9.987639703014619119e-01
9.724556864046656202e-01
