src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.129,192.168.10.130,2852,80,6,2025-06-22 13:39:39,90.90612077713013,1.9800646915876738,0.0330010781931279,0.022000718795418598,0.011000359397709299,2,1,120,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,45.45306038856506,90.90612077713013,0.0,45.45306038856506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,1,120,60
192.168.10.129,192.168.10.130,5511,80,6,2025-06-22 13:39:39,90.90159320831299,2.6402177511895566,0.04400362918649261,0.03300272188986946,0.011000907296623152,3,1,180,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,20,20,3,30.300531069437664,54.666202783584595,0.0,22.70852040342728,90.90159320831299,90.90159320831299,0.0,45.450796604156494,45.450796604156494,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,1,180,60
192.168.10.130,192.168.10.129,80,5420,6,2025-06-22 13:39:39,90.80171418190002,2.643121907580027,0.044052031793000455,0.022026015896500228,0.022026015896500228,2,2,120,120,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,40,20,2,30.267238060633343,57.48536205291748,0.0,23.567131561281204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1.0,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,2,120,120
192.168.10.130,192.168.10.129,80,9746,6,2025-06-22 13:39:40,90.79547595977783,1.982477630049977,0.03304129383416628,0.03304129383416628,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.397737979888916,90.79547595977783,0.0,45.397737979888916,90.79547595977783,90.79547595977783,0.0,45.397737979888916,45.397737979888916,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.130,192.168.10.129,80,9759,6,2025-06-22 13:39:40,90.7911286354065,3.9651451128630217,0.06608575188105036,0.03304287594052518,0.03304287594052518,3,3,180,180,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,60,60,20,3,18.158225727081298,33.18935036659241,0.0,11.040433047716078,41.85312747955322,41.85312747955322,0.0,20.92656373977661,20.92656373977661,65.82312345504761,33.18935036659241,32.6337730884552,32.911561727523804,0.2777886390686035,0,0,0,0,0,3,3,0,3,0,0,1.0,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,3,3,180,180
192.168.10.130,192.168.10.129,80,9760,6,2025-06-22 13:39:40,90.79112887382507,2.6434300683003356,0.0440571678050056,0.0220285839025028,0.0220285839025028,2,2,120,120,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,40,20,2,30.263709624608357,65.82312369346619,0.0,27.131829614703715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1.0,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,2,120,120
192.168.10.130,192.168.10.129,80,9761,6,2025-06-22 13:39:40,90.79112887382507,3.3042875853754197,0.055071459756257,0.0220285839025028,0.0330428758537542,2,3,120,180,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,60,20,2,22.69778221845627,65.82312345504761,0.0,25.949738006708774,0,0,0,0,0,85.72091913223267,65.82312345504761,19.89779567718506,42.86045956611633,22.962663888931274,0,0,0,0,0,3,2,0,2,0,0,1.5,60.0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,3,120,180
192.168.10.129,192.168.10.130,11483,80,6,2025-06-22 13:39:40,90.81178593635559,2.642828764189279,0.04404714606982132,0.04404714606982132,0.0,4,0,240,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,80,0,20,4,30.27059531211853,85.71064472198486,0.0,39.25731116067047,90.81178593635559,85.71064472198486,0.0,30.27059531211853,39.25731116067047,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,4,0,240,0
192.168.10.129,192.168.10.130,11484,80,6,2025-06-22 13:39:40,90.81178569793701,1.9821215783458501,0.0330353596390975,0.0330353596390975,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.405892848968506,90.81178569793701,0.0,45.405892848968506,90.81178569793701,90.81178569793701,0.0,45.405892848968506,45.405892848968506,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
192.168.10.129,192.168.10.130,11485,80,6,2025-06-22 13:39:40,90.81178569793701,1.9821215783458501,0.0330353596390975,0.0330353596390975,0.0,3,0,180,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,60,0,20,3,45.405892848968506,90.81178569793701,0.0,45.405892848968506,90.81178569793701,90.81178569793701,0.0,45.405892848968506,45.405892848968506,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,60.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,3,0,180,0
