F1-score per fold
9.968119295389445966e-01
9.972367114708358127e-01
9.990510752816459394e-01
9.995503640227847431e-01
9.991376114192900282e-01
9.998551529809661664e-01
9.993363388710109207e-01
9.997834624081181065e-01
9.996184301933606076e-01
9.754144089540673912e-01
