F1-score per fold
9.987167718499827540e-01
9.984231559716029158e-01
9.998571703182953518e-01
9.996217520161859715e-01
9.997858036883654487e-01
1.000000000000000000e+00
9.997838184190551702e-01
9.996452765001029306e-01
9.997120871317625168e-01
9.685780639469241393e-01
